run_id,system,workload,scenario,conflict_ratio,concurrency,total_requests,attempts_total,attempts_committed,attempts_aborted,abort_rate_attempt,requests_total,requests_failed,abort_prob_request,retry_p50,retry_p90,retry_p99,retry_max
0410250f-0901-4ede-a2e0-f26ae8782d81,HLF-stock-baseline-window50-noretry-cr0.5,stock_trade,hot_accounts,0.5,20,2000,2000,1126,874,0.437,2000,874,0.437,1,1,1,1
5c76f2b7-1f55-49d4-a22b-462e2e000aeb,HLF-stock-key-then-value-window50-noretry-cr0.5,stock_trade,hot_accounts,0.5,20,2000,1317,978,339,0.25740318906605925,1317,339,0.25740318906605925,1,1,1,1
3359a0ff-4256-4748-8033-a14df2705dca,HLF-stock-baseline-window50-noretry-cr0.9,stock_trade,hot_accounts,0.9,20,2000,2000,528,1472,0.736,2000,1472,0.736,1,1,1,1
eed81f95-1b79-40c9-b062-87b612311609,HLF-stock-key-then-value-window50-noretry-cr0.9,stock_trade,hot_accounts,0.9,20,2000,524,225,299,0.5706106870229007,524,299,0.5706106870229007,1,1,1,1
b7bdccfc-ef57-4597-aa7e-c72b64f06c6e,HLF,smallbank_transfer,hot_accounts,0,1,500,500,500,0,0,500,0,0,1,1,1,1
45b8835d-b005-4b64-b735-458df6e289b6,HLF,smallbank_transfer,hot_accounts,0,1,200,200,200,0,0,200,0,0,1,1,1,1
19a21842-22be-46f2-9803-f047643462ae,HLF,smallbank_transfer,hot_accounts,0,1,200,200,200,0,0,200,0,0,1,1,1,1
eff3e07b-f477-442e-a8f5-ba76422d4f93,HLF,smallbank_transfer_fhe,hot_accounts,0,1,200,200,200,0,0,200,0,0,1,1,1,1
a2b5ea4b-310a-4166-94ec-b64d15091db8,HLF,smallbank_transfer,hot_accounts,0,1,1,1,1,0,0,1,0,0,1,1,1,1
5087f671-bbf7-4ee3-9c08-e042df89826d,HLF,smallbank_transfer_fhe,hot_accounts,1,1,10,10,10,0,0,10,0,0,1,1,1,1
4b5bc184-fb56-4796-be8b-c86227df8a50,HLF-baseline-cr0.5-n2000,smallbank_transfer,hot_accounts,0.5,10,2000,3295,1984,1311,0.39787556904400606,2000,16,0.008,1,3,9,10
545268bd-c5c0-47a7-90a1-5b4b4559a6ee,HLF-fhe-insecure-cr0.5-n2000,smallbank_transfer_fhe,hot_accounts,0.5,10,2000,3598,1985,1613,0.4483046136742635,2000,15,0.0075,1,4,10,10
52d9834a-039d-40dd-9c3e-e1c66684df1e,HLF-ctm-fhe-insecure-window50-cr0.5-n2000,smallbank_transfer_fhe,hot_accounts,0.5,10,2000,1872,1317,555,0.296474358974359,1317,0,0,1,3,5,6
9085dbd1-928d-4d6c-a3ca-a7b69d58a1f8,HLF-baseline-cr0.5-n2000,smallbank_transfer,hot_accounts,0.5,10,2000,3255,1987,1268,0.38955453149001534,2000,13,0.0065,1,3,10,10
6d29fdd7-dd86-45b3-84ff-3a9fe9b7eec9,HLF-fhe-insecure-cr0.5-n2000,smallbank_transfer_fhe,hot_accounts,0.5,10,2000,3627,1989,1638,0.45161290322580644,2000,11,0.0055,1,4,9,10
66f5902d-2392-4317-ab34-165be455c2f3,HLF-ctm-fhe-insecure-window50-cr0.5-n2000,smallbank_transfer_fhe,hot_accounts,0.5,10,2000,1880,1317,563,0.29946808510638295,1317,0,0,1,3,5,6
bdc69165-2dff-4a6c-92da-744c6649d750,HLF,smallbank_transfer,hot_accounts,0,1,200,200,200,0,0,200,0,0,1,1,1,1
3bf891c1-a4e8-48e5-b19b-7978cc0d13da,HLF-baseline-cr0.5-n2000,smallbank_transfer,hot_accounts,0.5,10,2000,3251,1980,1271,0.39095662872962167,2000,20,0.01,1,3,10,10
a637e316-4c6e-4878-b263-c5f452a24323,HLF-baseline-cr0.5-n2000,smallbank_transfer,hot_accounts,0.5,10,2000,3277,1987,1290,0.39365273115654564,2000,13,0.0065,1,3,9,10
8c11235d-0e72-4ed7-83b0-40ca953028e6,HLF-fhe-insecure-cr0.5-n2000,smallbank_transfer_fhe,hot_accounts,0.5,10,2000,3610,1984,1626,0.450415512465374,2000,16,0.008,1,4,10,10
d719668c-fd83-4175-9ec6-15029a826362,HLF-ctm-fhe-insecure-window50-cr0.5-n2000,smallbank_transfer_fhe,hot_accounts,0.5,10,2000,1873,1317,556,0.2968499733048585,1317,0,0,1,3,5,8
